Facility Group,Location,ADDRESS,Open Year Round/Seasonally,X_COORDINATE,Y_COORDINATE,Interior,Seasonal
ARTS AND CULTURE,Ottawa Public Library Hazeldean Branch,"50 CASTLEFRANK RD, Ottawa, Ontario, Canada",Open Year Round,-75.88626099,45.29544449,Y,N
ARTS AND CULTURE,Ottawa Public Library Centennial Branch,"3870 OLD RICHMOND RD, Ottawa, Ontario, Canada",Open Year Round,-75.82566833,45.32115555,Y,N
ARTS AND CULTURE,Ottawa Public Library Rideau Branch,"377 RIDEAU ST, Ottawa, Ontario, Canada",Open Year Round,-75.68325043,45.43016434,Y,N
RECREATION,Greenboro CC,"363 LORRY GREENBERG DR, Ottawa, Ontario, Canada",Open Year Round,-75.63560486,45.36346054,Y,N
ARTS AND CULTURE,Ottawa Public Library Carlingwood Branch,"281 WOODROFFE AVE, Ottawa, Ontario, Canada",Open Year Round,-75.77178955,45.37323761,Y,N
RECREATION,John G Mlacak Centre,"2500 CAMPEAU DR, Ottawa, Ontario, Canada",Open Year Round,-75.89530182,45.32161713,Y,N
ARTS AND CULTURE,Ottawa Public Library Alta Vista Branch,"2516 ALTA VISTA DR, Ottawa, Ontario, Canada",Open Year Round,-75.66177368,45.37817383,Y,N
ARTS AND CULTURE,Ottawa Public Library North Gloucester Branch,"2036 OGILVIE RD, Ottawa, Ontario, Canada",Open Year Round,-75.60077667,45.43811035,Y,N
ARTS AND CULTURE,Ottawa Public Library Rosemount Branch,"18 ROSEMOUNT AVE, Ottawa, Ontario, Canada",Open Year Round,-75.72629547,45.4016571,Y,N
ARTS AND CULTURE,Ottawa Public Library Orleans Branch,"1705 ORLEANS BLVD, Ottawa, Ontario, Canada",Open Year Round,-75.52388,45.4565239,Y,N
ARTS AND CULTURE,Ottawa Public Library Emerald Plaza Branch,"1547 MERIVALE RD, Ottawa, Ontario, Canada",Open Year Round,-75.73338318,45.35472107,Y,N
ARTS AND CULTURE,Ottawa Public Library Sunnyside Branch,"1049 BANK ST, Ottawa, Ontario, Canada",Open Year Round,-75.68379211,45.39546585,Y,N
ARTS AND CULTURE,Ottawa Public Library Main Library,"120 METCALFE ST, Ottawa, Ontario, Canada",Open Year Round,-75.69538879,45.42023849,Y,N
ARTS AND CULTURE,Ottawa Public Library Greely Branch,"1448 MEADOW DR, Ottawa, Ontario, Canada",Open Year Round,-75.5575943,45.26132202,Y,N
ARTS AND CULTURE,Elmvale Acres Library,"1910 St-Laurent BLVD, Ottawa, Ontario, Canada",Open Year Round,-75.62489319,45.39949417,Y,N
CIVIC ADMINISTRATION,Ruth E. Dickinson Library,"100 MALVERN DR, Ottawa, Ontario, Canada",Open Year Round,-75.76152039,45.28058243,Y,N
ARTS AND CULTURE,St-Laurent Library,"515 Cote‚ St, Ottawa, Ontario, Canada",Open Year Round,-75.64679718,45.43654251,Y,N
